Name                                                               Type                   Forward_MACs     FPercent    Memory          MPercent    Params       PPercent    InShape          OutShape
/backbone/backbone.0/layers.2/Mul_27                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_28                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_29                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_30                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_31                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_32                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_33                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_34                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.2/Mul_35                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul                                  Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_1                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_2                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_3                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_4                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_5                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_6                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_7                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_8                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_9                                Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_10                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_11                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_12                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_13                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
/backbone/backbone.0/layers.3/Mul_14                               Mul                    4                0.00%       32              0.00%       0            0.00%       4                4
